x,y,z,mach
-184.10839,-66.687256,106.03705,3.58656
-182.6892,-68.028441,108.03568,4.44546
-182.9709,-69.887001,108.28083,4.87628
-174.89749,-84.503426,102.31213,2.90227
-171.70031,-81.069898,101.74517,1.97493
-174.20706,-80.110475,104.50777,2.1174
-172.99781,-81.890588,104.974,5.0
-172.32789,-85.354871,104.9477,3.2028
-177.25939,-84.007891,105.45627,3.49216
-173.83578,-85.529261,112.73852,3.70069
-170.6952,-83.847988,106.99625,3.96092
-170.63547,-85.752457,104.28402,5.0
-170.38587,-85.066599,104.11999,4.99437
-171.11463,-83.801521,100.40933,3.52562
-169.12759,-82.069658,100.24174,1.75053
-169.98472,-80.920245,100.79355,3.20257
-175.4542,-85.099359,95.868289,3.50032
-171.3415,-83.166586,100.75477,2.75512
-186.93785,-71.981907,90.50533,3.82558
-187.65636,-70.00991,91.200661,2.55839
-191.86979,-71.478127,89.57644,2.93687
-191.68928,-66.802364,85.29169,2.51557
-191.54397,-78.580414,83.154886,5.0
-178.97632,-85.763266,85.7597,4.1912
-186.42081,-79.623744,82.919098,5.0
-149.18319,-102.61545,84.833039,2.32385
-142.02931,-108.80344,87.388378,5.0
-140.89093,-110.29573,90.555697,5.0
-146.75845,-98.550214,101.37343,4.66001
-147.08116,-98.773188,100.31885,4.64144
-153.65961,-94.673859,101.36452,4.91347
-155.52853,-92.633554,95.302219,3.50008
-156.32548,-93.318187,90.297623,4.43598
-157.33594,-98.346406,87.896504,2.62341
-158.83179,-95.753292,91.210467,3.32549
-160.81661,-102.35347,83.166029,5.0
-161.53289,-99.796014,81.652348,3.63988
-158.54118,-100.96147,82.473373,1.92019
-159.41034,-104.18852,82.781814,3.92762
-161.29977,-109.21941,83.182966,5.0
-155.96311,-103.90303,86.354743,4.97429
-154.00772,-105.34116,86.293679,4.85503
-153.95334,-103.40605,86.506289,4.96607
-156.85456,-99.392411,86.339142,5.0
-159.17144,-98.198092,87.008175,5.0
-162.34633,-99.419823,84.625331,4.07424
-160.92224,-99.153279,82.317815,3.31984
-169.8822,-87.138661,86.791107,5.0
-166.78887,-98.022142,79.051545,2.46366
-180.75342,-109.91742,73.812944,2.94169
-179.9373,-109.53866,73.705524,2.80832
-178.31174,-110.27522,73.810269,2.75488
-178.83502,-111.6846,75.286063,3.30809
-179.1448,-113.36343,75.317264,4.35834
-180.65313,-113.69159,74.173981,4.89042
-176.74368,-112.16732,75.122928,4.11074
-177.63781,-111.07051,75.206724,4.33826
-177.41049,-113.37791,77.135821,4.55261
-174.05017,-111.21035,75.078356,3.53983
-164.43901,-91.948921,105.29002,2.07888
-171.22695,-87.642553,107.35506,5.0
-170.51646,-87.345923,105.75936,4.62877
-173.92358,-88.332534,112.28477,4.15862
-175.7515,-87.044167,112.94132,3.58135
-171.3883,-87.131195,107.34971,2.11878
-173.52956,-86.028584,103.33997,5.0
-144.4184,-98.066714,113.22302,2.7674
-146.63053,-97.814768,113.53726,3.99025
-145.62453,-98.035179,113.4704,5.0
-148.10008,-98.674683,111.02382,4.29176
-149.46712,-99.032154,108.69179,3.38404
-148.55294,-98.131344,107.40186,3.65678
-143.68875,-98.680254,101.90786,5.0
-163.82792,-91.020588,103.66936,3.46168
-158.06604,-92.473539,105.25882,3.53856
-160.87009,-92.096122,105.97821,5.0
-163.89433,-94.20373,104.57374,2.90621
-155.57444,-94.055973,107.03637,4.49045
-142.93636,-102.77669,105.21023,4.81437
-137.71871,-102.17228,105.59667,5.0
-143.9954,-100.24218,103.20224,5.0
-144.9858,-101.97628,102.98963,5.0
-146.05599,-100.64791,102.09283,5.0
-148.66482,-100.88693,101.50804,3.33047
-144.41884,-103.56406,108.32005,4.03962
-143.7351,-103.02975,108.24071,4.86146
-144.81509,-101.02387,107.1215,5.0
-139.68391,-105.04297,108.47249,2.32506
-66.935413,-314.25842,-266.98097,1.51989
192.19729,-144.1182,-134.72823,1.99775
194.84891,-143.23177,-125.12866,2.11913
190.68851,-204.89476,-85.873695,1.94172
194.2913,-210.28936,-91.644937,5.0
37.358802,-239.04941,-50.165808,3.60777
52.514776,-226.96972,-42.150342,2.34669
52.379276,-227.59406,-40.843923,2.38087
56.04759,-222.00089,-47.556536,1.60012
54.19605,-222.24058,-49.932694,1.8602
50.232221,-219.38961,-50.414076,1.74338
51.291708,-223.73454,-46.113725,1.59082
65.402009,-209.10797,-46.36556,1.96753
63.092709,-209.02027,-44.988716,2.62647
64.318898,-204.63858,-44.939241,1.66752
67.660495,-208.33453,-48.936945,2.59926
67.519201,-209.05081,-46.710996,2.04977
69.461668,-207.75475,-46.315638,1.59185
69.495098,-203.8443,-47.349274,2.13323
71.048448,-203.98191,-47.400978,1.74476
69.461668,-203.81455,-51.766405,2.07606
72.588872,-200.00115,-48.054856,1.98583
72.964618,-199.88103,-54.159946,1.88379
71.239664,-200.85137,-51.946032,1.99591
