x1,y1,z1,M1,x2,y2,z2,M2
-44.84708,17.322695,-85.872803,5.0,322.72338,172.05367,-32.647798,4.99942
-44.203008,18.549218,-85.915593,5.0,340.04283,124.01989,-26.233473,5.0
-45.243329,17.706464,-85.145826,4.1343,342.7125,143.26889,-6.3390591,5.0
-45.679694,16.189218,-84.901569,3.6213,342.47982,141.86903,-10.638994,5.0
-43.088251,21.023324,-84.565047,5.0,329.26271,150.16205,-18.749451,2.6716
-43.079336,19.270066,-85.723485,1.95315,346.21534,148.34357,8.3121642,2.08059
-43.450625,19.632552,-85.144935,5.0,345.42304,145.62138,0.66227857,4.64732
-41.688676,19.308176,-85.693176,5.0,345.674,146.83061,0.36084075,3.58812
-43.570971,16.575104,-87.108352,2.67021,348.09319,145.67594,1.8358187,5.0
-41.029895,16.615219,-87.318734,3.31648,351.88833,147.32255,0.69400886,5.0
-41.139543,13.115054,-88.547597,3.38444,368.07318,143.26192,-14.937968,4.96797
-39.805489,11.885523,-89.719852,2.34788,351.92679,136.34183,-13.663468,5.0
-38.816426,12.529706,-89.591038,2.99866,373.47358,127.5434,-16.238911,5.0
-38.643931,13.60212,-88.745053,2.15372,371.18179,127.19509,-14.99614,5.0
-31.182055,13.558327,-80.065903,1.9648,380.54127,133.52528,-15.277867,5.0
-34.910541,8.9798441,-92.925058,3.72859,382.34076,122.57063,-28.478151,5.0
-32.660523,11.745677,-92.580959,1.85399,388.57047,121.14025,-34.577577,1.69428
-33.26448,11.584882,-91.7947,1.51623,415.4667,9.335793,7.1597772,2.58501
-37.067403,-21.333329,-91.427869,2.10843,409.66246,-4.3834727,36.830969,2.5773
-33.835454,-17.366046,-88.333203,1.62511,415.21142,14.705785,22.674929,3.46881
-55.60509,-5.3134296,-91.101599,1.61998,415.54459,12.185029,12.995267,1.64599
-56.112324,-6.5048515,-91.931984,1.6873,422.10603,9.8747272,20.157178,1.85395
-54.214429,-2.1910172,-87.671748,1.7588,418.86761,19.147905,62.603179,2.07527
-54.375781,-2.2667904,-88.723658,1.62521,423.56995,11.383358,67.971848,2.84186
-55.034562,-2.2328039,-89.208606,1.51609,362.47471,-7.3842691,129.19449,1.82343
-55.455772,-3.0490371,-87.679325,1.66252,402.00441,-8.0120241,72.674182,1.61201
-56.852673,-2.8623899,-87.611129,1.60146,392.73435,-26.470643,98.134377,2.41402
-56.950286,-2.2301296,-88.160708,1.73165,408.00624,-9.5404868,83.558153,1.66889
-56.534425,-2.5517199,-89.399822,1.57574,415.06431,1.1106757,72.138132,3.0272
-62.325729,-2.9846299,-86.821305,2.88831,420.00462,0.37354728,72.340533,1.73568
-62.694343,-3.0358883,-83.587573,2.86665,415.65757,23.551805,85.648026,2.18812
-56.293734,-2.359724,-86.505286,1.85097,416.93832,23.146763,87.056178,2.07461
-57.526608,-2.2587674,-86.376918,1.65976,376.81776,14.39377,151.83021,2.70857
-58.760823,-2.2062833,-85.17569,1.71187,376.44517,19.329873,154.19652,3.25677
-69.835297,-13.924384,-73.881028,2.94622,376.85815,28.060151,174.07411,2.56768
-188.96902,-56.460553,116.33775,3.83351,378.46245,14.380549,160.76421,2.55237
-184.42218,-57.672813,117.99584,2.80494,315.82685,-26.586146,160.92959,2.5946
-183.07164,-73.963487,116.35468,4.404,329.26559,-5.0641115,148.22593,1.75466
-186.60445,-69.60274,126.02958,4.79456,344.00479,-7.4444845,137.71215,2.15297
-187.61446,-66.318976,127.75365,3.88798,329.66318,-8.8154977,143.43947,1.5169
-186.17744,-67.135209,126.94421,4.13337,358.23968,-1.5297896,148.50622,2.34934
-188.31648,-65.235976,123.98549,3.28822,360.39349,0.038816725,148.85044,2.2341
-186.36866,-66.709208,120.25076,3.35541,366.19677,7.0565002,150.02206,2.62672
-185.97954,-66.474979,120.29311,3.38819,371.27554,11.398502,152.36722,2.61564
-184.09591,-66.308947,120.57614,3.7246,364.3867,10.343831,159.88489,2.26988
-182.87017,-65.254251,117.36158,4.60305,363.16653,11.624461,159.9123,2.41263
-183.9096,-65.222827,118.55745,3.57287,367.57223,14.754221,159.18923,2.46404
-184.83849,-65.333367,116.35112,3.13785,367.94434,10.846467,155.46429,2.23684
-184.82512,-61.991101,116.02084,4.32482,368.52318,3.3352819,157.66954,2.04169
-184.21091,-61.596523,118.47589,4.26589,363.91844,4.1584667,155.1066,2.03243
-182.33084,-63.865484,117.89555,3.89961,360.97473,5.1394616,158.83203,1.92025
-183.01414,-61.772585,116.88777,5.0,359.09976,0.26056821,157.41907,1.57893
-185.65194,-59.890624,117.65486,3.20979,358.02381,6.9438817,155.89024,2.0401
-187.07781,-58.963962,117.63035,3.19748,358.05362,3.3880455,152.89558,2.27557
-189.12903,-59.466405,118.34975,3.21054,370.53468,17.95285,157.93829,2.73631
