#id,x,y,z,mvir,Name,SGX,SGY,SGZ
117,102.57816,387.4284,251.72574,3.6259446e14,,,,
118,239.18294,151.36128,40.331234,5.091691e14,,,,
119,302.52438,137.83432,287.43933,5.738524e14,,,,
120,24.112318,391.47266,144.87395,4.2260837e14,,,,
121,87.46181,461.30695,108.87504,5.6222816e14,,,,
122,394.88077,137.29007,411.5169,3.253635e14,,,,
123,83.94402,216.77736,277.59027,5.722479e14,,,,
124,105.29085,299.5722,221.43376,4.7689344e14,,,,
125,156.66777,377.03995,345.82965,3.1863034e14,,,,
126,241.31763,81.519135,21.155277,5.4583917e14,,,,
127,228.88377,98.22762,488.52884,5.5131452e14,,,,
128,222.6724,412.6667,83.64346,2.910696e14,,,,
129,95.64968,180.29323,453.11627,5.654148e14,,,,
130,123.964645,381.35986,253.40295,4.1574565e14,,,,
131,299.63934,248.26634,26.634956,4.5767876e14,,,,
132,455.73016,113.01978,145.74405,5.5675507e14,,,,
133,390.45676,436.30182,211.90773,5.3293212e14,,,,
134,454.2226,241.09924,170.28061,5.2327684e14,,,,
135,359.76633,122.48964,299.9448,5.513304e14,,,,
136,221.41882,96.67546,479.41013,4.854226e14,,,,
137,78.372406,483.20337,393.35956,4.839051e14,,,,
138,376.78998,57.877228,496.49002,2.864803e14,,,,
139,145.53151,443.33466,415.4799,3.8893513e14,,,,
140,317.62897,13.618259,80.86546,5.3027465e14,,,,
141,288.7151,145.9271,380.90912,5.4862e14,,,,
142,324.9846,108.61632,443.85922,2.55942e14,,,,
143,381.9566,497.69333,117.83428,4.9971827e14,,,,
144,467.1666,123.71646,316.02255,5.510281e14,,,,
145,280.26505,311.22388,24.7842,3.737038e14,,,,
146,244.45058,255.85178,253.66818,5.9424745e14,,,,
147,289.44003,455.37625,115.00902,3.958799e14,,,,
148,331.03287,21.654106,151.62677,4.9690997e14,,,,
149,478.86945,281.1692,499.6357,5.3226167e14,,,,
150,90.51041,419.34537,23.285,5.2241375e14,,,,
151,359.33066,23.141058,343.36667,5.1369158e14,,,,
152,126.94278,147.53438,43.595566,5.4677883e14,,,,
153,116.02333,143.76624,339.06677,3.2393915e14,,,,
154,327.0002,55.5996,74.19308,5.0835954e14,,,,
155,218.69708,103.17377,473.57446,2.0745918e14,,,,
156,198.76094,136.56238,136.05927,4.948125e14,,,,
157,375.57138,179.30423,60.263165,4.8570617e14,,,,
158,394.46326,478.73135,49.517395,5.0341718e14,,,,
159,438.78253,265.91116,267.20972,5.1507224e14,,,,
160,84.448296,356.42297,324.78473,5.1399863e14,,,,
161,2.012031,110.79532,34.817963,5.2428005e14,,,,
162,165.94911,301.71057,191.57571,5.324609e14,,,,
163,81.00714,320.75647,186.11848,4.9620985e14,,,,
164,118.000626,294.1145,386.18478,4.9179063e14,,,,
165,33.59075,326.73367,266.39435,5.0695425e14,,,,
166,21.279284,130.09328,439.53595,5.0330903e14,,,,
167,226.52179,414.46768,84.00624,4.5818738e14,,,,
168,367.37933,16.32698,295.7685,4.3001642e14,,,,
169,419.80563,255.0411,357.20877,4.7648756e14,,,,
170,30.16422,115.25322,384.7671,4.9666274e14,,,,
171,450.2004,383.0241,335.17093,2.976633e14,,,,
172,332.05637,438.91675,279.38263,5.0055586e14,,,,
173,421.95654,342.4558,474.2818,4.5171228e14,,,,
174,459.0596,282.0985,235.8786,4.9926354e14,,,,
175,14.685533,80.01558,413.90588,2.7405299e14,,,,
176,398.49854,277.58545,331.57166,3.6174526e14,,,,
177,338.2038,26.053457,16.226688,3.8308122e14,,,,
178,135.83455,338.0402,404.9651,4.3991803e14,,,,
179,308.17346,124.3341,438.99164,3.6275056e14,,,,
180,394.38913,408.79694,1.3320956,4.962264e14,,,,
181,289.73856,375.3183,110.24411,4.7666326e14,,,,
182,469.4639,467.54846,187.09535,5.0426312e14,,,,
183,283.6059,348.71677,168.0814,3.9908782e14,,,,
184,488.19016,312.64807,224.24593,4.6913683e14,,,,
185,4.5508146,497.4729,5.001651,4.894434e14,,,,
186,177.0317,357.9192,399.37997,4.6462956e14,,,,
187,43.388912,285.28766,45.541874,5.0350452e14,,,,
188,281.6262,333.81287,180.8427,4.84477e14,,,,
189,291.0706,462.3878,348.02008,3.8685032e14,,,,
190,105.24682,37.240738,303.14764,5.0215285e14,,,,
191,174.2838,360.46292,325.9755,4.339594e14,,,,
192,496.15778,113.704605,492.73108,4.8628653e14,,,,
193,470.10504,428.1454,436.07816,1.5210192e14,,,,
194,102.217255,306.01144,215.54613,4.6172747e14,,,,
195,54.929806,177.38786,270.5883,4.749753e14,,,,
196,393.80707,272.73343,89.45211,3.2001942e14,,,,
197,245.61761,265.0279,112.68216,4.970751e14,,,,
198,124.41642,60.087437,352.68527,4.2471086e14,,,,
199,449.115,242.68332,301.28998,4.5052573e14,,,,
200,234.70612,150.9648,171.84436,4.9718988e14,,,,
201,6.4075975,392.5993,302.25992,4.3793017e14,,,,
202,152.30357,191.09062,496.35672,4.573192e14,,,,
203,298.59863,253.51448,155.05016,4.6002012e14,,,,
204,91.02011,134.11346,321.98938,4.8148113e14,,,,
205,317.8075,491.57397,455.75284,2.4504761e14,,,,
206,267.3211,319.66357,14.399518,4.6043613e14,,,,
207,385.3906,269.86072,254.30222,4.6871485e14,,,,
208,5.559621,256.96805,214.61923,5.0519546e14,,,,
209,305.56223,149.76367,363.62497,4.4664288e14,,,,
210,359.0648,63.676113,371.89062,4.673479e14,,,,
211,234.18584,379.82028,124.57212,4.209965e14,,,,
212,163.50542,91.1207,267.801,4.32843e14,,,,
213,103.17803,275.10178,330.72537,4.1746106e14,,,,
